Company,Ticker
1-800-Flowers.Com Inc,FLWS
99 Cents Only Stores,NDN
"Aaron's, Inc.",AAN
Abercrombie & Fitch Co.,ANF
"Advance Auto Parts, Inc.",AAP
"Amazon.com, Inc.",AMZN
American Eagle Outfitters,AEO
Ann Inc,ANN
"Asbury Automotive Group, Inc.",ABG
Ascena Retail Group Inc,ASNA
"AutoNation, Inc.",AN
"AutoZone, Inc.",AZO
Barnes & Noble Education Inc,BNED
"Barnes & Noble, Inc.",BKS
Bed Bath & Beyond Inc.,BBBY
Best Buy Co Inc,BBY
"Big Lots, Inc.",BIG
Blue Nile Inc,NILE
Buckle Inc,BKE
Burlington Stores Inc,BURL
Cabelas Inc,CAB
"CarMax, Inc",KMX
"Carter's, Inc.",CRI
Cato Corp,CATO
"Chico's FAS, Inc.",CHS
Childrens Place Inc,PLCE
Coach Inc,COH
"CONN'S, Inc.",CONN
Container Store Group Inc,TCS
"Copart, Inc.",CPRT
"Cost Plus, Inc.",CPWM
Costco Wholesale Corporation,COST
Dicks Sporting Goods Inc,DKS
"Dillard's, Inc.",DDS
Dollar General Corp.,DG
"Dollar Tree, Inc.",DLTR
DSW Inc.,DSW
Ebay,EBAY
Etsy,ETSY
"Express, Inc.",EXPR
"Family Dollar Stores, Inc.",FDO
Finish Line Inc,FINL
Five Below Inc,FIVE
"Foot Locker, Inc.",FL
Francesca's Holdings Corp,FRAN
"Fred's, Inc.",FRED
FTD Companies Inc,FTD
GameStop Corp.,GME
Gap Inc,GPS
Genesco Inc.,GCO
"Group 1 Automotive, Inc.",GPI
Groupon Inc,GRPN
"Guess?, Inc.",GES
"Haverty Furniture Companies, Inc.",HVT
"Hibbett Sports, Inc.",HIBB
Home Depot Inc,HD
"HSN, Inc.",HSNI
Hudson's Bay,HBC
Ingram Micro Inc.,IM
J C Penney Company Inc,JCP
KAR Auction Services Inc,KAR
Kate Spade & Co,KATE
Kohl's Corporation,KSS
L Brands Inc,LB
"Lands' End, Inc.",LE
Liberty Interactive Group,QVCA
Liberty Ventures,LVNTA
Lithia Motors Inc,LAD
"Lowe's Companies, Inc.",LOW
Lumber Liquidators Holdings Inc,LL
Luxottica Group SpA (ADR),LUX
"Macy's, Inc.",M
Mattress Firm Holding Corp,MFRM
Men's Wearhouse Inc,MW
Michael Kors Holdings Ltd,KORS
Michaels Companies Inc,MIK
Monro Muffler Brake Inc,MNRO
Natural Grocers by Vitamin Cottage Inc,NGVC
"Nordstrom, Inc.",JWN
O'Reilly Automotive Inc,ORLY
Office Depot Inc,ODP
Ollie's Bargain Outlet Holdings Inc,OLLI
Overstock,OSTK
Party City Holdco Inc,PRTY
"Penske Automotive Group, Inc.",PAG
Pep Boys-Manny Moe and Jack,PBY
"PetSmart, Inc.",PETM
Pier 1 Imports Inc,PIR
"PriceSmart, Inc.",PSMT
QVC,QVCA
Rent-A-Center Inc,RCII
Restoration Hardware Holdings Inc,RH
"Ross Stores, Inc.",ROST
"Rush Enterprises, Inc.",RUSHA
"Sally Beauty Holdings, Inc.",SBH
Sears Holdings Corp,SHLD
"Shoe Carnival, Inc.",SCVL
Signet Jewelers Ltd.,SIG
Sonic Automotive Inc,SAH
Sportsman's Warehouse Holdings Inc,SPWH
Stamps.com Inc.,STMP
"Staples, Inc.",SPLS
Target Corporation,TGT
Tech Data Corp,TECD
Tiffany & Co.,TIF
TJX Companies Inc,TJX
Tractor Supply Company,TSCO
"Ulta Salon, Cosmetics & Fragrance, Inc.",ULTA
"Urban Outfitters, Inc.",URBN
Vipshop Holdings Ltd - ADR,VIPS
Vitamin Shoppe Inc,VSI
"Wal-Mart Stores, Inc.",WMT
Wayfair Inc,W
"Williams-Sonoma, Inc.",WSM
Winmark Corporation,WINA
Zumiez Inc.,ZUMZ
