company,,ticker,top_100_rank_2014,headquarters,retail_sales_us_2014,sales_growth_usa_2014_vs_2013,retail_sales_worldwide_2014,usa_percent_of_worldwide,no_of_stores_2014,no_of_stores_growth_2014_vs_2013
Wal-Mart Stores,NYSE:,WMT,1,"Bentonville, Ark.","$343,624,000 ",2.80%,"$508,465,000 ",67.60%,"5,109",6.90%
The Kroger Co.,,,2,"Cincinnati, Ohio","$103,033,000 ",10.10%,"$103,033,000 ",100.00%,"3,730",5.90%
Costco,NASDAQ:,COST,3,"Issaquah, Wash.","$79,694,000 ",6.60%,"$111,530,000 ",71.50%,464,3.80%
The Home Depot,NYSE:,HD,4,Atlanta,"$74,203,000 ",3.60%,"$83,195,000 ",89.20%,"1,965",0.00%
Walgreen,,,5,"Deerfield, Ill.","$72,671,000 ",5.80%,"$75,085,000 ",96.80%,"8,157",1.10%
Target,NYSE:,TGT,6,Minneapolis,"$72,618,000 ",1.90%,"$74,564,000 ",97.40%,"1,790",-0.20%
CVS Caremark,,,7,"Woonsocket, R.I.","$67,974,000 ",3.60%,"$69,132,000 ",98.30%,"7,808",2.40%
Lowe's Companies,NYSE:,LOW,8,"Mooresville, N.C.","$54,805,000 ",5.10%,"$56,203,000 ",97.50%,"1,793",4.40%
Amazon.com,,,9,Seattle,"$49,353,000 ",22.60%,"$83,391,000 ",59.20%,N/A,N/A
Safeway,,,10,"Pleasanton, Calif.","$36,330,000 ",-2.10%,"$36,330,000 ",100.00%,"1,326",-0.50%
Best Buy,NYSE:,BBY,11,"Richfield, Minn.","$35,957,000 ",0.10%,"$42,437,000 ",84.70%,"1,445",-3.20%
McDonald's,,,12,"Oak Brook, Ill.","$35,447,000 ",-1.10%,"$87,786,000 ",40.40%,"14,350",0.50%
Publix Super Markets,,,13,"Lakeland, Fla.","$30,560,000 ",5.70%,"$30,560,000 ",100.00%,"1,296",1.80%
Apple Store,,,14,"Cupertino, Calif.","$28,380,000 ",6.50%,"$32,879,000 ",86.30%,259,2.00%
Macy's,,,15,"Cincinnati, Ohio","$28,027,000 ",0.60%,"$28,105,000 ",99.70%,821,-1.90%
Rite Aid,,,16,"Camp Hill, Pa.","$26,528,000 ",3.90%,"$26,528,000 ",100.00%,"4,570",-0.40%
Ahold,,,17,"Carlisle, Pa.","$25,976,000 ",-0.50%,"$44,121,000 ",58.90%,768,0.10%
Sears Holdings,,,18,"Hoffman Estates, Ill.","$25,763,000 ",-11.80%,"$26,792,000 ",96.20%,"1,659",-12.90%
TJX,,,19,"Framingham, Mass.","$22,206,000 ",5.70%,"$29,061,000 ",76.40%,"2,569",4.70%
H-E-B Grocery,,,20,"San Antonio, Texas","$19,819,000 ",5.70%,"$21,166,000 ",93.60%,317,1.90%
YUM! Brands,,,21,"Louisville, Ky.","$19,727,000 ",2.60%,"$31,051,000 ",63.50%,"17,326",1.00%
Albertsons,,,22,"Boise, Idaho","$19,458,000 ",0.00%,"$19,458,000 ",100.00%,"1,108",8.20%
Kohl's,,,23,"Menomonee Falls, Wis.","$19,023,000 ",0.00%,"$19,023,000 ",100.00%,"1,162",0.30%
Dollar General,,,24,"Googlettsville, Tenn.","$18,910,000 ",8.00%,"$18,910,000 ",100.00%,"11,789",5.90%
Delhaize America,,,25,"Salisbury, N.C.","$17,069,000 ",-8.80%,"$28,417,000 ",60.10%,"1,361",-10.10%
Meijer,,,26,"Grand Rapids, Mich.","$15,689,000 ",0.30%,"$15,689,000 ",100.00%,213,4.40%
WakeFern / ShopRite,,,27,"Keasbey, N.J.","$14,985,000 ",6.30%,"$14,985,000 ",100.00%,330,5.40%
Ace Hardware,,,28,"Oak Brook, Ill.","$14,299,000 ",18.70%,"$14,345,000 ",99.70%,"4,251",1.90%
BJ's Wholesale Club,,,29,"Westborough, Mass.","$13,811,000 ",6.50%,"$13,811,000 ",100.00%,210,4.50%
Whole Foods Market,,,30,"Austin, Texas","$13,642,000 ",9.70%,"$14,060,000 ",97.00%,381,9.80%
